Input Sample	B cells	CD8 T cells	CD4 T cells	NK cells	Monocytes	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-61-1910-01	0.12844002840464397	0	0.4322282641553339	0.001	0.4383611402138141	0	0.046	0.11811976542162245	1.1115178572340991
TCGA-61-1728-01	0.12996452043976175	0	0.49309710279956975	0.0158099999715448	0.3611283767891238	0	0.034	0.1576025216028309	1.0562232089241586
TCGA-09-1666-01	0.2483413380999142	0.13910091130185573	0.13703518385600272	0.0014152412588361845	0.4741073254833911	0	0.01	0.25508322215807655	1.0543641897344482
TCGA-24-1469-01	0.2970148987285899	0	0.28756920709074635	0	0.41541589418066377	0	0.034	0.1587949590748986	1.0896280446916187
TCGA-04-1348-01	0.16960758406873674	0.382042331663041	0	0.0023187759171550333	0.4460313083510672	0	0	0.3656354844189979	0.9659740910121707
TCGA-61-1917-01	0.03264810277637885	0.08331870031882582	0.2001720134251432	0	0.6838611834796522	0	0.034	0.1503530157612785	1.248341324471508
TCGA-61-2009-01	0	0	0.25051641609198466	0	0.7494603470547149	0	0.016	0.2061419100444951	1.2584475642867048
TCGA-31-1950-01	0.4778930533429755	0.12726523949174748	0.14256258062785626	0	0.2521197497231432	0.0002	0	0.46606012304816175	0.8856256888535945
TCGA-31-1951-01	0.03551525479720491	0.19466814559534007	0.13137314047825635	0.023329362743054877	0.6151140963861438	0	0.012	0.21924612094915294	1.1469702335262393
TCGA-61-1995-01	0.18767303438288582	0	0.27601866981352435	0.0026218012128505887	0.5336864945907391	0	0.004	0.31849397478855845	1.0373149671945987
TCGA-24-2297-01	0.11163105757303154	0	0.6258067437885839	0.005731791630894643	0.2568304070074899	0	0.082	0.08529322099626234	1.0585771801577604
TCGA-24-1555-01	0.36136655406001283	0	0.29425305428496384	0	0.3443803916550233	0	0.002	0.3248369855584581	0.9742580215768224
TCGA-25-1322-01	0.015197920790960386	0	0.321371871058892	0.028434982062529368	0.6349952260876183	0	0.022	0.1836048262970776	1.186703817085057
TCGA-24-1427-01	0.04620974777923411	0.25541485314710044	0.18701787467553307	0	0.5113575243981323	0	0.016	0.19857403750708527	1.0976335825192056
TCGA-29-1698-01	0.07365221060010521	0	0.410836425546044	0.011914267125919187	0.5035970967279316	0	0.052	0.11353759899209992	1.1482991938891967
TCGA-23-1023-01	0.23073767043679552	0.2998645560691433	0.027519806519418953	0.03717122042128389	0.40470674655335837	0	0.004	0.3046204273346342	0.9932925770503883
TCGA-13-0924-01	0.06939464716946978	0.31463389603856484	0.041556022683793915	0.0033596624027758394	0.5710557717053956	0	0.006	0.2986870584492189	1.0636646485528216
TCGA-24-1847-01	0.1814805096033528	0.4857465420215548	0	0	0.33277294837509247	0	0	0.36735575150502586	0.9389800129572708
TCGA-24-1843-01	0.15992028239389827	0.31337176753966056	0.06312978300830586	0	0.4635781670581353	0	0	0.3346428513771566	0.9919311712646619
TCGA-25-1321-01	0.2049061587848887	0	0.39660129242981124	0	0.39849254878530005	0	0.07	0.09343236620787986	1.1088714181479917
TCGA-30-1891-01	0.027498807289122875	0.304137527416163	0	0	0.6683636652947141	0	0.02	0.18930604384599964	1.206718784523241
TCGA-25-1326-01	0.16368554995869974	0	0.1372123945247819	0.002658718351342286	0.696443337165176	0	0.01	0.26174645031721844	1.1839744779131023
TCGA-29-2414-01	0.2878372477701071	0.02857484280413304	0.38254997673386226	0	0.30103793269189755	0	0.034	0.14792994249280667	1.0480593571979941
TCGA-09-1670-01	0.30799393042367884	0	0.18955851076497943	0	0.5024475588113416	0	0.01	0.2830923545843309	1.0570873902639353
TCGA-24-2033-01	0.455770399473938	0.20961011932152468	0	0	0.33461948120453733	0	0.004	0.3184544094596378	0.9836927164016259
TCGA-29-2414-02	0.19287824986905747	0.2945709520734717	0.037088087044259206	0	0.4754627110132117	0	0	0.442085868955518	0.9240366009702962
TCGA-61-1741-01	0.2549470290804276	0.2348118687160806	0.13866356995266962	0	0.3715775322508222	0	0.012	0.22647392220031945	1.0279340984320358
TCGA-31-1953-01	0.14029156082127991	0	0.10823772934301928	0.15282265769286307	0.5986480521428378	0	0	0.3993382760229835	1.0087530261719602
TCGA-30-1855-01	0.16865669263746447	0.27693032775646165	0.10699424219901955	0	0.4474187374070543	0	0.004	0.31954518269868376	0.9959942517821098
TCGA-25-1324-01	0.1099558914136226	0.5376024428879113	0.23557450641276187	0	0.11686715928570422	0	0.034	0.1542809431112753	1.0091029693919749
TCGA-09-2056-01	0.04051383291278668	0.3217188238949529	0	0.02617848361047181	0.6050907480325394	0.006498111549249284	0.01	0.25188934063009755	1.1186570731720453
TCGA-29-1701-01	0.10585833917421318	0.2691373987442932	0	0	0.6250042620814936	0	0.012	0.2265111142107028	1.1524248221706876
TCGA-25-1633-01	0.034272620040501245	0.3371356394641392	0.157315866825896	0	0.47127587366946366	0	0.016	0.20285969242502924	1.0738088792693787
TCGA-25-2396-01	0.13881807334778407	0.5428552732944685	0	0	0.3183266533577474	0	0.012	0.22736988503575103	1.0057552235052645
TCGA-61-1914-01	0.0793018453817734	0	0.2170285624623858	0.00947548516086624	0.6941941069949746	0	0.008	0.28999513307563435	1.152376821055485
TCGA-61-2094-01	0.2932650436047065	0.40882012065118173	0	0	0.2979148357441117	0	0.01	0.2832689057691242	0.9799909312521363
TCGA-29-1705-01	0.10270240459860085	0	0.31130205415353174	0.0018925814038481534	0.5841029598440193	0	0.012	0.23962761279699754	1.1168731757067536
TCGA-36-1580-01	0.09891850190991394	0.13272793122007825	0.2025920251446676	0	0.5657615417253402	0	0.012	0.2405202802583988	1.1037382175150228
TCGA-25-2401-01	0.05607117177792485	0	0.21696002245111343	0.003209648458660675	0.7237591573123009	0	0.01	0.2696759101745427	1.189864644006762
TCGA-5X-AA5U-01	0.09806414346101282	0	0.7708283339484181	0	0.13110752259056904	0	0.082	0.08640056472640936	1.0425615920528943
TCGA-13-0916-01	0.5315341247239823	0.25106954599896775	0.03206142970405317	0	0.18533489957299676	0	0	0.4927335726060124	0.8701126280038559
TCGA-23-2084-01	0.19146542524265936	0	0.28275801756876756	0.024574912795971626	0.5012016443926015	0	0.016	0.19920058104178712	1.0999414410360255
TCGA-36-1577-01	0.01850840524757438	0	0.5292024697287853	0	0.45228912502364027	0	0.1	0.07903599023400132	1.1394760693137191
TCGA-24-1551-01	0.14654471244180794	0	0.2769865741223159	0.04472462405015819	0.531744089385718	0	0.01	0.27135746066265565	1.0658822831176618
TCGA-61-1998-01	0	0	0.21243055339240377	0.024745621679100875	0.7628238249284953	0	0.008	0.29007278608544856	1.200515772043988
TCGA-20-1684-01	0.38767231744304725	0.02031010770844546	0.42731272117273744	0	0.16470485367576984	0	0.046	0.12053593911345525	1.0368693986369044
TCGA-24-1556-01	0.2877299104358238	0	0.37367794007293287	0.029283183462257726	0.3093089660289857	0	0	0.4148795278503085	0.9135418154938403
TCGA-57-1582-01	0	0	0.23342921457102858	0.0003	0.7662336630423894	0	0.018	0.19152658843561784	1.2841431358066369
TCGA-04-1362-01	0.14608473297502966	0	0.4587880384218922	0.017410917426266857	0.37771631117681137	0	0.034	0.15903929861836785	1.0620050067776836
TCGA-61-2113-01	0.04588226002426421	0	0.3511966914278192	0.020536562054062225	0.5823844864938544	0	0.024	0.17132263598560352	1.1600792796043489
TCGA-24-1924-01	0.11400373197496175	0.16221153310346562	0.015564205026903512	0.007544324678055442	0.7006762052166137	0	0	0.3603365810008083	1.1007545666267449
TCGA-31-1946-01	0.052312019726164796	0	0.25687619376590765	0.006658729618077233	0.6841530568898503	0	0.01	0.2724635149941604	1.1574547108873112
TCGA-29-1699-01	0.242513893171377	0	0.14810181949208961	0.06276907788594457	0.5466152094505888	0	0.004	0.30892844044608675	1.0552928736173737
TCGA-61-2002-01	0.08605563940584195	0.20228888257802086	0.05730256617549323	0.005756607535419056	0.648596304305225	0	0	0.378161122642615	1.0489929580809143
TCGA-24-2035-01	0.04466099282576591	0	0.18057963671764865	0.013782877894995549	0.7609764925615898	0	0.01	0.2604139755798412	1.2264177454564784
TCGA-09-1674-01	0.043097528018341776	0	0.839521428455077	0	0.11738104352658105	0	0.19	0.05144904307434688	1.060081944824251
TCGA-29-1710-01	0.17471916232202514	0.02221384947004516	0.1397448617136821	0.09573941589109207	0.5675827106031555	0	0	0.34482992261606643	1.0349052871278028
TCGA-24-1436-01	0.1267553131366748	0.4960939008471025	0	0.017411446593604638	0.3597393394226181	0	0.064	0.10182558708964927	1.0795396930534378
TCGA-13-1497-01	0.02305282680166374	0	0.4469641700775484	0.018677534280247574	0.5113054688405403	0	0.07	0.0941201257061039	1.163644644177846
TCGA-24-2271-01	0.3306807115295112	0.2418547310981394	0.13296715587073502	0.009752509521866721	0.28474489197974767	0	0.004	0.3043222819991714	0.9692246043739791
TCGA-24-1552-01	0	0	0.6192840311780732	0	0.3807159688219268	0	0.046	0.12350060816964867	1.0834740121622652
TCGA-61-1724-01	0.04842688192213161	0	0.3920857144324219	0.04713107910836756	0.5123563245370789	0	0.022	0.18257340785694223	1.1095549949040042
TCGA-20-1685-01	0.17299140651369865	0	0.23261066637740724	0	0.5943979271088942	0	0	0.3701569007858996	1.0300630630426373
TCGA-24-1423-01	0.22606792026637926	0	0.3283915231683274	0.028263193719119145	0.41727736284617417	0	0.024	0.17187001323731949	1.0757958585188396
TCGA-25-2398-01	0.1289132303082625	0	0.26720744728111545	0	0.603879322410622	0	0.034	0.1413262068439638	1.2003591471181785
TCGA-29-1763-01	0.026892044402037362	0.35989951858493835	0.12944576626933657	0	0.48376267074368773	0	0.034	0.14965056117739745	1.1117987440012518
TCGA-29-1703-01	0.30394033846812835	0	0.3500264835887093	0	0.34603317794316235	0	0.034	0.15362022456309243	1.0627463084042166
TCGA-10-0936-01	0.35083032066530956	0.3610492360361981	0.12161293101668151	0.00720410949978325	0.15930340278202762	0	0.032	0.16374922841436151	1.0130072043889937
TCGA-25-2409-01	0.1474870630237163	0	0.22469738818110047	0.060125776858644495	0.5676897719365386	0	0.034	0.15295471880707487	1.16765464528642
TCGA-30-1718-01	0.2651306363702106	0.25894439352332893	0	0.02195027816240181	0.45397469194405865	0	0.042	0.13413615002722398	1.1190590674379113
TCGA-29-1711-01	0.20102740030779245	0.16979507417061612	0.09487458862325836	0.015980851026586574	0.5183220858717464	0	0.014	0.21107402896084865	1.1021051689418713
TCGA-61-2008-01	0.23834236482290289	0	0.24893050291030072	0.007990561696657687	0.5047365705701388	0	0.01	0.2627847697400481	1.0646962461516345
TCGA-61-1740-01	0.23080658307854013	0.1492859570255716	0.020458776211634864	0	0.5994486836842534	0	0	0.3942375667061822	1.0180111455869598
TCGA-29-1785-01	0.16752714712362776	0.34644540949357594	0.045967552123349804	0.02595352458244273	0.41410636667700373	0	0	0.3700998226574959	0.9536040473971603
TCGA-13-1506-01	0.3081014438200875	0	0.32321715536845774	0.028301639333926865	0.3390994951253823	0.001280266352145501	0.046	0.11813529546120895	1.0776373383050077
TCGA-29-1781-01	0.1434761176329865	0.3198121806308317	0	0	0.5367117017361818	0	0	0.45315369109270576	0.9344810481656832
TCGA-36-1570-01	0.17979324565716387	0	0.3802493467009268	0	0.4399574076419093	0	0.014	0.2121143157009792	1.0608376011617555
TCGA-24-1930-01	0.1465646774951031	0	0.1820037190481418	0.014153434010748003	0.6572781694460073	0	0.01	0.26307025810498913	1.1517980988751269
TCGA-13-0799-01	0.49596694169990474	0.1511858344787601	0.19873817822475803	0	0.15410904559657715	0	0.016	0.19931883568413533	1.0121053347752245
TCGA-30-1862-01	0.28839362922862993	0.4400309721949133	0	0	0.2715753985764568	0	0.028	0.16823913161880572	1.027706920929527
TCGA-23-1114-01	0.04890956011037964	0	0.6704750842786716	0	0.2806153556109487	0	0.042	0.12737148590274605	1.0485124718890997
TCGA-25-1626-01	0.037176946602932325	0.3798221364369133	0.009138165340034777	0	0.5738627516201196	0	0.012	0.23979256916601852	1.1058481838676217
TCGA-61-2097-01	0.07539144808652545	0	0.3218520020585833	0.01916744237960907	0.5835891074752823	0	0.012	0.22002421285025964	1.1285719461582426
TCGA-24-1616-01	0.42505840235342013	0	0.315353208987875	0.023606693860267064	0.2359816947984378	0	0.01	0.24514183394712122	0.9971286820509864
TCGA-23-1109-01	0.23975843990374546	0.24460373915496963	0.07774802417946879	0	0.4378897967618161	0	0.012	0.22125452788465477	1.0568893493201112
TCGA-29-2427-01	0.18781159826947594	0.33765882723883583	0	0.06198366375085944	0.4125459107408288	0	0	0.37899126453882176	0.9486922418881746
TCGA-29-1695-01	0.05777021106685402	0	0.1475848753120735	0.01122188729235953	0.783423026328713	0	0.01	0.2644138207670436	1.242871852663404
TCGA-61-1737-01	0.019445525392166575	0	0.246655665774171	0.018588452487250457	0.7153103563464119	0	0.028	0.1678157210540077	1.2603934997574526
TCGA-29-2425-01	0.006020512503184391	0	0.4147874789334566	0.017506554889004353	0.5616854536743546	0	0.04	0.13585158778818507	1.169308325927671
TCGA-09-1662-01	0.24138010917041813	0	0.2238183749143182	0.04947868727628359	0.48532282863898013	0	0.004	0.30386716993124224	1.0273202931911327
TCGA-13-1512-01	0.00806050534340825	0	0.2908694450396317	0.019677918199466495	0.6813921314174936	0	0.032	0.1631215362384571	1.2362124455983379
TCGA-29-1697-01	0.02198162139193991	0	0.7714707580508915	0.028929880715060818	0.17761773984210774	0	0.096	0.08054575831230829	1.0513498595615438
TCGA-24-2024-01	0.22241544262896726	0	0.3133258504157509	0	0.4642587069552818	0	0.01	0.2575202090529114	1.0469684297480595
TCGA-57-1583-01	0.00863745769182291	0	0.6370980978697424	0	0.3542644444384347	0	0.068	0.09831267986342826	1.0859014029920189
TCGA-24-1562-01	0.3866779752094773	0	0.14897583223773508	0.030290144109772005	0.4340560484430157	0	0.01	0.2487752055182766	1.0551938678611397
TCGA-57-1584-01	0.4790610545083419	0	0.20931685613450662	0.019244056810095223	0.29237803254705635	0	0	0.4172349501865875	0.9182526485942687
TCGA-13-1411-01	0.01927356589471677	0.001387386588423292	0.1643823870710774	0.054195740198795604	0.760760920246987	0	0	0.3516836349131121	1.1468120928456935
TCGA-61-2088-01	0.21757743409069008	0	0.6260710258213471	0	0.15635154008796276	0	0.166	0.05564516152371771	1.052069930833419
TCGA-25-1625-01	0.21401255831377936	0	0.16378183671939348	0.015169787219633015	0.6070358177471942	0	0	0.33443347490562436	1.0688808932263953
TCGA-24-2288-01	0.2537296537729898	0.3024104096013472	0.06421638896986197	0	0.3796435476558011	0	0.018	0.1925048596405024	1.049030157400925
