Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
X60120,0.0011963281196948684,0.037928469891014054,0,0,0,0.4801513451540779,0,0.06642471129336175,0,0,0,0.07414261506253611,0.027136188363134937,0.014488000638293906,0,0,0,0,0,0.2985323414778865,0,0,0.764,0.0002,1.15201123625775
X32117,0.06980245672720434,0,0,0,0.243018440738811,0,0,0,0.12329368097004993,0,0.21352403616531568,0,0,0.011892842020745437,0,0,0.2404359978245889,0,0,0.09803254555328474,0,0,0.998,-0.0676,1.127421728678242
X23066,0.03662593812683509,0,0,0,0,0.1788613056270221,0,0,0.115270924894272,0.12255231556216291,0.10701378594720715,0,0,0,0,0,0.26886204151216847,0,0,0.17081368833033228,0,0,0.795,-0.004,1.1089243262464659
X60267,0.07836148665257622,0,0,0,0,0.3658807696391398,0,0,0.05582428027493161,0,0.051742402501486075,0.10651543398584902,0.011162499180802053,0.01273652694542442,0,0,0,0,0,0.19367075157452046,0.12410584924527036,0,0.57,0.02308032929913619,1.117869939766558
X51174,0.02915516979674187,0,0.0017479916709805404,0,0.14780415145466191,0.06160985858927397,0,0,0,0,0.07427321818136463,0,0.12151535885742558,0,0,0.2319649772464554,0.05588026412551136,0.046157536428330134,0.19347248357512412,0,0.029434150065382744,0.006984840008747681,0.288,0.06423828554007746,1.0480294910932468
X51068,0.06816191341019229,0,0,0,0,0.168395603338436,0,0,0.20214936954771323,0,0.03416209050915382,0.016375862680153216,0.07061196225140333,0,0,0,0.14273070556783468,0.048879403380547214,0.16254594963711014,0.08598713967745608,0,0,0.844,-0.0107,1.0831834335901873
X23177,0.08374307224108996,0,0,0.054581763050171636,0,0.2964488271971557,0,0,0.1808640070966231,0,0.08454782107403716,0.07404191230981709,0.022042254745548856,0,0,0.03246186848776223,0,0.008420160926978374,0.11733651378798696,0,0,0.045511799082829,0.434,0.041618737778325,1.088341998564445
X23052,0.008143324295643233,0,0,0,0.08129117018179473,0.12223071241129856,0,0,0,0,0,0.02253626625883105,0.4674792232537772,0.008361962522761565,0,0.02129573523868143,0.19374441609145981,0.056878794963519975,0.018038394782232407,0,0,0,0.002,0.35671271951331196,0.9435018857460756
X60170,0,0.27158729036056867,0,0,0.3377664842297613,0,0,0,0.2029525356397788,0,0.05050482720603547,0.013287601262964634,0,0.04463824762473101,0,0,0,0,0,0.07926301367616015,0,0,1.0,-0.0773,1.1334127093290345
X70070,0.3914594390547017,0,0.06175588676378669,0,0.30719509149967444,0,0,0,0.06543651806840538,0,0.08793989590955813,0,0,0,0,0,0,0,0,0.08621316870387365,0,0,1.0,-0.0901,1.161949706132379
X44262,0.12063497947052297,0,0,0,0.16518550155878814,0.2725595693702507,0,0,0.002617256794273497,0,0.1028975919368884,0,0,0,0,0,0.13712888186442154,0,0.07619858260023692,0,0,0.1227776364046178,0.966,-0.0369,1.1063361500801787
X22027,0.02860767603468176,0,0,0,0.1807358669299222,0,0,0,0.21148717000802902,0,0.12197740401637842,0.08162687290865775,0.2645677561346286,0,0,0,0,0,0,0.11099725396770224,0,0,1.0,-0.0883,1.150996520668758
X70057,0.1053017509204873,0,0,0,0,0.46867229381653974,0,0,0.14582838479049773,0,0.10584465247823209,0,0.07363615825078898,0.0024996087432100065,0,0,0,0,0,0.09821715100024411,0,0,1.0,-0.0949,1.155055343370351
X23036,0.08646232770089467,0,0,0,0.22523830070667772,0.09260084307071595,0,0,0,0,0.09479258858853908,0.0986141127236026,0.07641990161766225,0,0,0,0.22584556336574535,0,0,0.0003,0.024833184121851027,0.07492394893358796,0.936,-0.0275,1.1077038315479402
X22002,0,0,0,0,0,0.46802517160049484,0,0,0,0,0.13676211980398903,0,0.0665017648398008,0,0,0,0.0685541114152989,0.12790410541266584,0.053837683813430535,0.06764418383762942,0.01077085927669064,0,0.717,0.005734384170384837,1.1004845655235338
X70144,0.09793449285976377,0,0,0,0.08433165834828839,0.09939667633440179,0.06495810320713043,0,0.08737418756376726,0,0.23112675091739004,0,0.07612325770556358,0.06661824201963236,0,0,0.10057116866486553,0.010378383707116533,0.0401694266818982,0,0.0038293377363950868,0.03718831425378702,0.873,-0.0143,1.0956735559411674
X70056,0.14478837712377737,0,0,0,0,0.2328938941985571,0,0.04124847286896623,0.12238935648362184,0,0.05559763475557535,0.04465217810602698,0.06492227166562027,0.04562086930599225,0,0,0,0,0,0.22076489312135542,0.014706475899880273,0.01241557647062681,1.0,-0.0907,1.1455034577677639
X70055,0.1943498990039445,0,0,0,0.2524001383766468,0.04285784860015482,0,0,0.15882778028292663,0,0.195213106562031,0,0,0,0,0,0,0,0,0.15635122717429623,0,0,1.0,-0.0891,1.1631917639266631
X95014,0.18816281979061586,0,0.0077094581692487224,0.03554511387102808,0.159052193472215,0,0,0.33924772823589144,0,0,0.04037176306588154,0,0,0,0.03969388906013895,0,0,0,0,0.13259044808495507,0.05762658625002532,0,0.971,-0.0385,1.127776787361496
X95002,0.08998621840788606,0,0,0.03527349581539766,0,0.16671071620425698,0,0,0.23203256179495022,0,0,0.27922706189870455,0,0.031940096100010064,0,0,0,0,0.16482984977879445,0,0,0,1.0,-0.125,1.2114555140333443
X94099,0.08362431815287018,0,0,0.019686524009288057,0,0.34288508177352495,0,0,0,0,0.39047823190214437,0.0014104879686282737,0.02555958626605766,0.040899131223205515,0,0,0,0,0.09545663870428103,0,0,0,0.992,-0.0542,1.1996774131515076
X94093,0,0.02529729210946867,0,0.4550823668531119,0.040041146327967646,0,0.04807868008830693,0.0812215541772037,0,0.08290353072789794,0,0.022546351636671586,0.07393848521825284,0,0.04271181399968175,0.09556836906234838,0,0,0.00589218822619059,0,0.026718221572898198,0,0.003,0.3076108220932255,0.9778342592302067
X94084,0.16159265218942062,0,0,0,0.35792909265875666,0,0.14946037139615906,0,0,0,0,0,0,0.27583866419154834,0,0,0.013813327013453586,0,0.025761622539099107,0.01560427001156262,0,0,1.0,-0.0923,1.137805604058046
X94082,0.050194504680367874,0,0,0,0,0.4165511086874848,0,0,0,0,0.18155567693183178,0,0.020293133462658115,0.054818429742022716,0,0,0.0352161769774201,0.009250754750950796,0,0.23212021476726388,0,0,0.411,0.04481553411062668,1.109912635468265
X94070,0.31292906780682495,0,0.08473174489381793,0,0,0.09336977980208405,0,0,0.41326466110118776,0,0,0.03446210505653906,0,0.06124264133954629,0,0,0,0,0,0,0,0,0.999,-0.0735,1.1408138967265513
X94067,0.0871832727078999,0,0,0,0.0967194347823729,0.28013876315955416,0,0.03442425993445597,0,0,0.10099205812225076,0,0.0144776580923365,0.22871798309635777,0,0,0,0.04752202287871961,0,0.10982454722605244,0,0,0.534,0.02769455103562876,1.0899415021828933
X94056,0,0.0386358748312993,0.27123098698650683,0.02198811355382313,0.3387258401676791,0.022031610745533867,0.014638180853316186,0,0,0,0.12106162880959494,0,0,0.11761197910037165,0,0,0,0,0,0.05407578495187496,0,0,0.216,0.08180007237927892,1.0771543847860456
X94044,0,0,0,0,0.47637885550663583,0,0.00978468099313978,0,0,0,0.1536318573595445,0,0.10207496659012122,0.2581296395505587,0,0,0,0,0,0,0,0,0.991,-0.0493,1.1444303909680282
X94025,0,0,0,0.2706526603847054,0,0,0,0,0.2269039983448958,0,0,0.10725618240347287,0,0.21918214173203168,0,0,0,0,0.17600501713489422,0,0,0,1.0,-0.1258,1.1665082762465184
X94019,0.367436548748647,0,0.028587553829641465,0,0.18209974985525312,0,0,0.09572557907010107,0,0,0.05188587117148604,0,0,0.21822380427406032,0,0,0,0,0,0.05604089305081094,0,0,0.925,-0.0248,1.1164154486292783
X93075,0.39164454190285153,0,0,0,0.10095613447751978,0,0.05765389537996064,0,0.05193021023006175,0,0.19410783735440165,0,0,0.02295404127599841,0,0,0.05703477977942279,0.03626172588779267,0,0.08745683371199076,0,0,1.0,-0.1516,1.1753055726018709
X93050,0.009664451302633726,0.01723862363835146,0.0405340004874726,0.24881954205523904,0,0,0,0.13443634962011505,0.10171406001872974,0,0,0.07380630826592198,0.014872442982141569,0,0.039652113725974304,0.24275025459763744,0,0,0.05182371396921802,0,0,0.02468813933656503,0.189,0.09067113185363533,1.049859763139418
X93031,0.12848043345374704,0,0,0.017331804766676104,0,0.2258796183539735,0,0.04876178762115114,0.14036766018457442,0,0.06255593723381425,0.28504582313036686,0,0,0,0,0,0,0.09157693525569671,0,0,0,0.805,-0.0049,1.1820153187174138
X93006,0.04950324994509277,0.032810922466939015,0,0.18870806117496414,0,0,0.08611862354250827,0.130930092815636,0,0.05892860068760059,0,0.04761487971054193,0.08651346512723156,0,0.11482367878802073,0.06246363129178855,0,0.026062696707403462,0.07045336371151367,0,0.016665041695538268,0.028403692335221102,0.013,0.2285213803005454,0.9952203958004586
