,C3,C4,EMT,C10,ciliated,P-value,Correlation,RMSE
HH-001,0.599370589,0.0037606,0.03777207,0.359096742,0,0.677,-0.003008241,1.260659137
HH-002,0,0.607444127,0.032217192,0.360338681,0,0.361,0.124589215,1.094460582
HH-003,0.782066953,0,0,0.217933047,0,0.652,0.006456109,1.314924165
HH-004,0.293403526,0,0.681995189,0.012525563,0.012075722,0.076,0.344679715,1.031912298
HH-005,0,0,0,1,0,0.492,0.063152654,1.140747664
HH-006,0.229728523,0.446256729,0,0.324014748,0,0.212,0.216853355,1.074071916
HH-007,0,0.739465887,0,0.043608981,0.216925133,0.117,0.293485195,1.001332433
HH-009,0.450327706,0,0.291587426,0.258084867,0,0.458,0.074959422,1.166691529
HH-010,0.685005341,0,0.1512238,0.163770859,0,0.63,0.013186881,1.268125166
HH-011,0,0.28186726,0.71813274,0,0,0.253,0.186075505,1.124187754
HH-012,0.380124268,0,0,0.587553762,0.03232197,0.416,0.091090607,1.150152233
HH-013,0.01170502,0.791997379,0.061687861,0.128914838,0.005694901,0.212,0.215962492,1.060443094
HH-014,0.364803331,0.411765477,0.223431192,0,0,0.393,0.100421565,1.165351974
HH-015,0.302822592,0,0.287602933,0,0.409574476,0.21,0.218417128,1.092490449
HH-016,0.159530046,0.316819745,0.523650209,0,0,0.382,0.108927073,1.145331782
HH-017,0.006023274,0,0.875489358,0,0.118487369,0.048,0.405296168,0.9976306
HH-018,0.358120642,0,0,0.641879358,0,0.515,0.055553993,1.179183825
HH-019,0.709426219,0,0,0,0.290573781,0.083,0.337981079,1.054080561
HH-020,0.421164418,0.473567451,0.090613345,0,0.014654786,0,0.655332794,0.763923515
HH-021,0,0.730604571,0,0.247822492,0.021572937,0.069,0.364074441,0.964090067
HH-022,0.497267071,0,0.015167454,0.487565475,0,0.545,0.040519878,1.212299886
HH-023,0.257591597,0.182132247,0.122579754,0.437696401,0,0.431,0.086422103,1.12605465
HH-024,0,0.437422065,0.562577935,0,0,0.444,0.081400269,1.150132671
HH-025,0.071856814,0.687290188,0.133987398,0.1068656,0,0.278,0.175479828,1.081279897
